Class,Genus species,Overall Welfare,Adjusted Welfare(0-100)
Actinopterygii,Cottus sp.,5.627874768,13.87787477
Aves,Turdus torquatus,6.138466672,14.38846667
Mammalia,Halichoerus grypus,6.76239005,15.01239005
Actinopterygii,Opsopoeodus emiliae,7.239186951,15.48918695
Actinopterygii,Notropis percobromus,8.73096585,16.98096585
Mammalia,Onychogalea fraenata,8.953961288,17.20396129
Actinopterygii,Zoarces viviparus,9.756710903,18.0067109
Actinopterygii,Oncorhynchus tshawytscha,11.61288404,19.86288404
Reptilia,Kinosternon subrubrum,11.85423337,20.10423337
Actinopterygii,Ammocrypta pellucida,12.0810209,20.3310209
Aves,Thalassarche melanophris,12.27866034,20.52866034
Mammalia,Sousa chinensis,12.39496757,20.64496757
Actinopterygii,Notropis photogenis,13.58037816,21.83037816
Mammalia,Macaca mulatta,13.72652993,21.97652993
Reptilia,Crocodylus johnsoni,13.93521787,22.18521787
Actinopterygii,Hybognathus argyritis,14.23084481,22.48084481
Aves,Lagopus leucura,15.01438355,23.26438355
Mammalia,Phocarctos hookeri,15.81567324,24.06567324
Mammalia,Canis lupus,16.08443147,24.33443147
Reptilia,Hoplocephalus bungaroides,16.17974149,24.42974149
Reptilia,Cryptophis nigrescens,16.49398939,24.74398939
Mammalia,Panthera pardus,16.64046959,24.89046959
Aves,Gavia immer,17.08225806,25.33225806
Aves,Phalacrocorax auritus,17.29723907,25.54723907
Aves,Vermivora chrysoptera,17.77110374,26.02110374
Mammalia,Callospermophilus lateralis,17.86473017,26.11473017
Aves,Lagopus muta,17.87317483,26.12317483
Aves,Sternula antillarum subsp.browni,18.38120596,26.63120596
Aves,Sterna hirundo,18.41447086,26.66447086
Mammalia,Eumetopias jubatus,18.56426438,26.81426438
Mammalia,Ovis aries,18.77792738,27.02792738
Aves,Milvus migrans,18.78457316,27.03457316
Aves,Haliaeetus albicilla,19.2574803,27.5074803
Aves,Bonasa umbellus,19.68849727,27.93849727
Aves,Nipponia nippon,19.72660076,27.97660076
Aves,Falco naumanni,20.26901264,28.51901264
Actinopterygii,Astroblepus ubidiai,20.31530704,28.56530704
Aves,Anthropoides paradiseus,21.26618928,29.51618928
Aves,Falco peregrinus subsp.anatum,21.41874665,29.66874665
Aves,Pernis apivorus,21.5043243,29.7543243
Mammalia,Rangifer tarandus,21.53932429,29.78932429
Aves,Certhia americana,21.64654256,29.89654256
Aves,Calyptorhynchus lathami,21.6917767,29.9417767
Aves,Buteo solitarius,21.82089616,30.07089616
Aves,Chen caerulescens,22.1026575,30.3526575
Mammalia,Brachyteles hypoxanthus,22.1769261,30.4269261
Mammalia,Capra ibex,22.44567349,30.69567349
Aves,Centrocercus minimus,22.50531447,30.75531447
Aves,Anser anser,22.54142524,30.79142524
Aves,Strix occidentalis subsp.occidentalis,23.10368137,31.35368137
Aves,Fulmarus glacialis,23.17118854,31.42118854
Aves,Bostrychia hagedash,23.91001175,32.16001175
Aves,Larus heermanni,24.35878714,32.60878714
Reptilia,Chrysemys picta,24.36859172,32.61859172
Aves,Calidris temminckii,24.60813083,32.85813083
Aves,Gyps coprotheres,24.82969557,33.07969557
Mammalia,Zalophus californianus,24.84932442,33.09932442
Mammalia,Ovis canadensis subsp.sierrae,25.34487564,33.59487564
Mammalia,Alces alces,25.52336228,33.77336228
Mammalia,Callorhinus ursinus,25.56833352,33.81833352
Mammalia,Cebus capucinus,25.71191025,33.96191025
Mammalia,Orcinus orca,25.76229813,34.01229813
Mammalia,Phoca vitulina,26.07848783,34.32848783
Mammalia,Propithecus verreauxi,26.15548398,34.40548398
Mammalia,Cervus elaphus,26.16679499,34.41679499
Aves,Lagopus muta sub species japonica,26.49923344,34.74923344
Mammalia,Ursus americanus,26.55291221,34.80291221
Aves,Anas laysanensis,26.86812298,35.11812298
Actinopterygii,Pimephales promelas,27.00133472,35.25133472
Mammalia,Pan troglodytes subsp. schweinfurthii,27.69489087,35.94489087
Mammalia,Papio cynocephalus,27.80358649,36.05358649
Mammalia,Ursus arctos subsp.horribilis,27.83863687,36.08863687
Mammalia,Propithecus edwardsi,28.24376021,36.49376021
Mammalia,Urocitellus beldingi,28.37736947,36.62736947
Actinopterygii,Erimyzon sucetta,28.67602578,36.92602578
Mammalia,Gorilla beringei,28.80780601,37.05780601
Mammalia,Mustela erminea,29.80905153,38.05905153
Mammalia,Presbytis thomasi,30.34358181,38.59358181
Mammalia,Urocitellus armatus,30.49180721,38.74180721
Mammalia,Rangifer tarandus subsp.platyrhynchus,34.03772284,42.28772284
Mammalia,Elephas maximus,34.6510155,42.9010155
Mammalia,Tamiasciurus hudsonicus,36.39795311,44.64795311
Mammalia,Odocoileus virginianus,37.34262526,45.59262526
Mammalia,Mirounga leonina,45.81962973,54.06962973
Mammalia,Marmota flaviventris,54.96244304,63.21244304
