Class,Genus species,"Max
lifespan","Life
expectancy","Wo,s",RWE,Adjusted.  RWE,LE/ML,Adjusted LE/ML, IMR,Adjusted IMR,RR,Adjusted RR,Overall Welfare
Mammalia,Pan troglodytes subsp. schweinfurthii,57.2,16.61,15.82,1,57.09342561,0.290384615,49.69542028,0.9561441,96.65004806,0.03653095,0,27.69489087
Mammalia,Propithecus verreauxi,40,10.47,10.07,1,57.09342561,0.26175,44.36463949,0.9298332,93.98767518,0.050577425,0.00042005,26.15548398
Aves,Calidris temminckii,12.9,2.64,1.83,1,57.09342561,0.204651163,33.73479932,0.695,70.22514546,0.062,0.000761634,24.60813083
Aves,Thalassarche melanophris,43.7,2.32,1.57,0.76,43.25259516,0.053089245,5.5191816,0.497,50.18972932,0.067592,0.000928859,12.27866034
Aves,Fulmarus glacialis,51,11.06,10.15,1,57.09342561,0.216862745,36.00817605,0.957,96.7366557,0.06775,0.000933584,23.17118854
Mammalia,Gorilla beringei,48.35,3.625,2.78,1.735,100,0.074974147,9.593397848,0.9722701,98.2818214,0.06796312,0.000939957,28.80780601
Mammalia,Cebus capucinus,26,5.64,4.75,1.06,60.55363322,0.216923077,36.01940777,0.793,80.14166456,0.08225,0.001367196,25.71191025
Mammalia,Brachyteles hypoxanthus,40,7.94,7.78,1,57.09342561,0.1985,32.58966431,0.941,95.11763218,0.1048,0.002041539,22.1769261
Mammalia,Orcinus orca,42.83333333,11.17,10.46666667,0.95,54.20991926,0.26077821,44.18372562,0.8532557,86.2388768,0.107191,0.00211304,25.76229813
Mammalia,Papio cynocephalus,60.1,17.26,16.83,1,57.09342561,0.28718802,49.10032413,0.9196979,92.96209461,0.14637304,0.003284751,27.80358649
Aves,Pernis apivorus,29,5,4.1,1.01,57.67012687,0.172413793,27.73330955,0.853,86.21300278,0.202,0.004948237,21.5043243
Mammalia,Rangifer tarandus subsp.platyrhynchus,21.8,7.98,7.4,1.02,58.24682814,0.366055046,63.78265254,0.8,80.84998735,0.206,0.005067854,34.03772284
Mammalia,Elephas maximus,9,3.25,2.53,1.11,63.43713956,0.361111111,62.86226188,0.9,90.96888439,0.21944,0.005469768,34.6510155
Aves,Buteo solitarius,17,2.87,2.446666667,0.913333333,52.09534794,0.168823529,27.0649259,0.5633,56.89855806,0.2267,0.005686874,21.82089616
Aves,Calyptorhynchus lathami,44.47,6.91,6.08,0.97,55.3633218,0.155385653,24.56325542,0.612,61.82646092,0.2324,0.005857328,21.6917767
Mammalia,Propithecus edwardsi,40,11.46,10.84,1,57.09342561,0.2865,48.97223847,0.862,87.12370352,0.25,0.006383644,28.24376021
Aves,Strix occidentalis subsp.occidentalis,22.22,4.06,3.21,0.99,56.51672434,0.182718272,29.65164918,0.6906684,69.78683531,0.25811625,0.006626355,23.10368137
Mammalia,Presbytis thomasi,40,11.24,10.73,1,57.09342561,0.281,47.94832758,0.57,57.57652416,0.25935,0.006663249,30.34358181
Mammalia,Halichoerus grypus,61,1.43,0.79,0.64,36.33217993,0.023442623,0,0.66,66.6835315,0.26,0.006682687,6.76239005
Mammalia,Eumetopias jubatus,35.7375,4.215,3.3875,0.9675,55.21914648,0.117943337,17.59278354,0.7053,71.26739185,0.269768,0.006974792,18.56426438
Aves,Bonasa umbellus,11,1.17125,0.48125,0.915,52.19146482,0.106477273,15.45819666,0.3638571,36.71713635,0.282214,0.007346981,19.68849727
Aves,Bostrychia hagedash,16,3.19,2.36,1,57.09342561,0.199375,32.75255923,0.74,74.77864913,0.28728,0.007498476,23.91001175
Mammalia,Ovis canadensis subsp.sierrae,32.8,5.063333333,4.213333333,1.203333333,68.81968474,0.154369919,24.37416057,0.711,71.84416899,0.291075,0.007611963,25.34487564
Mammalia,Callorhinus ursinus,21,4.3,3.52,1,57.09342561,0.204761905,33.75541567,0.581,58.68960283,0.29167,0.007629756,25.56833352
Aves,Gyps coprotheres,30.55,6.53,5.8,0.98,55.94002307,0.213747954,35.42830909,0.689,69.61801164,0.314985,0.008326975,24.82969557
Reptilia,Chrysemys picta,61,2.28,1.535,1.51,86.50519031,0.037377049,2.594111025,0.682,68.90968884,0.31511,0.008330713,24.36859172
Aves,Chen caerulescens,27.5,4.98,4.09,1,57.09342561,0.181090909,29.34869019,0.822,83.0761447,0.3496,0.009362113,22.1026575
Mammalia,Ursus arctos subsp.horribilis,19.95,5,4.48,0.98,55.94002307,0.250626566,42.29383863,0.6,60.61219327,0.36,0.009673118,27.83863687
Aves,Gavia immer,24.1,1.886666667,1.33,0.793333333,45.17493272,0.078284924,10.2097507,0.185,18.61877055,0.3775,0.010196443,17.08225806
Mammalia,Phocarctos hookeri,48.13,4.67,3.87,0.92,52.47981546,0.09702888,13.69923084,0.77,77.81431824,0.39375,0.010682388,15.81567324
Mammalia,Mirounga leonina,20.71,10.24,9.28,1.22,69.78085352,0.494447127,87.68484333,0.8,80.84998735,0.4,0.01086929,45.81962973
Aves,Larus heermanni,29.87,5.24,4.44,1.05,59.97693195,0.17542685,28.29423709,0.6267,63.31393878,0.421,0.01149728,24.35878714
Aves,Lagopus muta,12,1.275,0.595,0.8,45.55940023,0.10625,15.4158863,0.31165,31.43435366,0.4336585,0.011875824,17.87317483
Aves,Haliaeetus albicilla,42,5.005,4.11,1.01,57.67012687,0.119166667,17.82052549,0.7305,73.81735391,0.4339,0.011883046,19.2574803
Aves,Centrocercus minimus,7,1.11,0.445,0.885,50.46136101,0.158571429,25.15633724,0.34,34.30306097,0.44,0.012065462,22.50531447
Aves,Vermivora chrysoptera,7.9,0.91,0.28,0.73,41.52249135,0.115189873,17.08018333,0.2265,22.81811283,0.4775,0.013186874,17.77110374
Mammalia,Alces alces,29.75,3.87,3.87,1.1825,67.61822376,0.130084034,19.85296383,0.4625,46.69870984,0.488273,0.013509033,25.52336228
Mammalia,Cervus elaphus,24.2,5.0425,4.4025,0.9625,54.93079585,0.208367769,34.42670353,0.4486,45.29218315,0.4972459,0.013777361,26.16679499
Aves,Lagopus muta sub species japonica,12,2.25,1.42,1.17,66.89734717,0.1875,30.54184254,0.739,74.67746016,0.4995,0.013844768,26.49923344
Mammalia,Capra ibex,38.3525,6.39,5.6125,1.135,64.87889273,0.166612346,26.65327958,0.98925,100,0.5,0.01385972,22.44567349
Aves,Sterna hirundo,33,3.05,2.395,0.875,49.88465975,0.092424242,12.84200563,0.32,32.27928156,0.515,0.014308285,18.41447086
Mammalia,Ursus americanus,39.6,9.2075,8.4225,0.965,55.07497116,0.232512626,38.92164581,0.58589212,59.18463142,0.5312312,0.014793668,26.55291221
Mammalia,Macaca mulatta,35.1775,3.81,3.1475,0.7525,42.8200692,0.108307867,15.79899042,0.712875,72.03389831,0.556368858,0.015545392,13.72652993
Aves,Sternula antillarum subsp.browni,24,2.7,2.08,0.93,53.05651672,0.1125,16.57942139,0.6,60.61219327,0.562,0.015713787,18.38120596
Mammalia,Ovis aries,32.8,3.38,2.53,0.99,56.51672434,0.10304878,14.8199293,0.6228333,62.92267139,0.5818223,0.01630656,18.77792738
Mammalia,Marmota flaviventris,20.71,11.61,10.65,1.37,78.43137255,0.560598745,100,0.5415125,54.69390336,0.585192128,0.016407332,54.96244304
