Species Name,Difference (observed y - expected y),Common Name
Ammocrypta pellucida,-41.350987,Eastern Sand Darter
Astroblepus ubidiai,-38.573876,Andean Catfish
Cottus sp.,-41.718225,Freshwater Sculpins
Erimyzon sucetta,-35.155787,Lake Chubsucker
Hybognathus argyritis,-40.933863,Western Silvery Minnow
Notropis percobromus,-43.207612,Carmine Shiner
Notropis photogenis,-41.194047,Silver Shiner
Oncorhynchus tshawytscha,-13.567768,Chinook Salmon
Opsopoeodus emiliae,-43.730523,Pugnose Minnow
Pimephales promelas,-25.641168,Fathead Minnow
Zoarces viviparus,-41.764106,Viviparous Eelpout
Anas laysanensis,-35.067143,Laysan Duck 
Anser anser,62.316572,Greylag Goose 
Anthropoides paradiseus,-37.529317,Blue Crane 
Bonasa umbellus,-35.355965,Ruffed Grouse 
Bostrychia hagedash,-36.54559,Hadaba Ibis 
Buteo solitarius,-37.824039,Hawaiian Hawk
Calidris temminckii,-35.823538,Temminck's Stint
Calyptorhynchus lathami,-37.359081, Glossy Black Cockatoo
Centrocercus minimus,-35.041049,Gunnison Grouse
Certhia americana,-35.089354,Brown Creeper
Chen caerulescens,-29.888456,Snow Goose 
Falco naumanni,-30.326713,Lesser Kestrel
Falco peregrinus subsp.anatum,-15.84468,Peregrine Falcon
Fulmarus glacialis,-37.431524,Northern Fulmar
Gavia immer,-32.708424,Common Loon
Gyps coprotheres,-36.694319,Cape Vulture
Haliaeetus albicilla,-27.926898,White-tailed Eagle
Lagopus leucura,-39.734838,White-tailed Ptarmigan
Lagopus muta,-33.646673,Rock Ptarmigan
Lagopus muta sub species japonica,-35.657504,Rock Ptarmigan Japonica
Larus heermanni,-36.439879, Heermann's Gull
Milvus migrans,-30.846689,Black Kite
Nipponia nippon,-33.126703,Crested Ibis
Pernis apivorus,-38.098272,European Honey Buzzard
Phalacrocorax auritus,-22.806934,Double-crested Cormorant
Sterna hirundo,-24.352662,Common Tern 
Sternula antillarum subsp.browni,-39.347516,California Least Tern
Strix occidentalis subsp.occidentalis,-23.214988,Northern Spotted Owl
Thalassarche melanophris,-34.851267,Black-browed Albatross
Turdus torquatus,-44.244612,Ring Ouzel
Vermivora chrysoptera,-35.237316,Golden-winged Warbler
Alces alces,-16.638256,Moose 
Brachyteles hypoxanthus,-37.755427,Northern Muriqui
Callorhinus ursinus,-36.472668,Northern Fur Seal
Callospermophilus lateralis,-39.111304,Golden-mantled Ground Squirrel
Canis lupus,-1.151838,Gray Wolf
Capra ibex,-32.334278,Alpine Ibex
Cebus capucinus,-36.046232,White-faced Capuchin
Cervus elaphus,2.143096,Elk
Elephas maximus,-23.540699,Asian Elephant 
Eumetopias jubatus,-35.362857,Steller Sea Lion 
Gorilla beringei,-33.405658,Mountain Gorilla
Halichoerus grypus,-35.212756,Grey Seal 
Macaca mulatta,-34.567322,Rhesus Macaque
Marmota flaviventris,-24.050817,Yellow-bellied Marmot
Mirounga leonina,-23.722702,Southern Elephant Seal
Mustela erminea,-30.717339,Stoat (short-tail weasel)
Odocoileus virginianus,6.096832,White-tailed Deer
Onychogalea fraenata,-42.52801,Bridled Nail-tail Wallaby
Orcinus orca,-23.84895,Killer Whale
Ovis aries,40.811172,Sheep 
Ovis canadensis subsp.sierrae,-36.562048,Sierra Nevada Bighorn sheep 
Pan troglodytes subsp. schweinfurthii,-34.736435,Eastern Chimpanzee
Panthera pardus,-23.807652,Leopard 
Papio cynocephalus,-35.13576, Yellow Baboon
Phoca vitulina,-26.674508,Common Seal
Phocarctos hookeri,-38.233511,New Zealand Sealion
Presbytis thomasi,-34.562568,Thomas's Langur
Propithecus edwardsi,-35.402496,Milne-Edwards's Sifaka
Propithecus verreauxi,-35.721203,Verreaux's Sifaka
Rangifer tarandus,-10.335192,Reindeer 
Rangifer tarandus subsp.platyrhynchus,-32.273104,Svalbard Reindeer
Sousa chinensis,-41.742012,Indo-Pacific Humpback Dolphin
Tamiasciurus hudsonicus,-28.745986,American Red Squirrel
Urocitellus armatus,-34.429475,Uinta Ground Squirrel
Urocitellus beldingi,-35.349052,Belding's Ground Squirrel
Ursus americanus,-36.078836,American Black Bear
Ursus arctos subsp.horribilis,-34.383732,Grizzly bear/ North American Brown Bear
Zalophus californianus,-36.760272,California Sea Lion
Chrysemys picta,-34.738542,Painted Turtle 
Crocodylus johnsoni,-40.978311,Australian Freshwater Crocodile
Cryptophis nigrescens,-40.102404,Easter Small-eyed Snake 
Hoplocephalus bungaroides,-39.8591,Broad-headed Snake
Kinosternon subrubrum,-41.663105,Eastern Mud Turtle
